7zip 26.01-1.1
usbutils 019-1.1
vde2 2.3.3-8.1
vim 9.2.0388-1.1
virt-manager 5.1.0-3
virt-viewer 11.0-4.1
vlc 3.0.22-3.1
vlc-plugins-all 3.0.22-3.1
vpl-gpu-rt 26.1.5-1.1
vulkan-intel 2:26.0.6-2
wezterm 20240203.110809.5046fc22-2.1
wget 1.25.0-3.1
which 2.23-1.1
wireplumber 0.5.14-1.1
wpa_supplicant 2:2.11-5.1
xdg-user-dirs 0.20-1.1
xdg-utils 1.2.1-2
xfsprogs 6.19.0-1.1
xl2tpd 1.3.20-1.1
xsettingsd 1.0.2-3.1
yay 12.5.7-1
yazi 26.1.22-4
yt-dlp 2026.03.17-1
